first				second				third				
A	T	C	G	A	T	C	G	A	T	C	G	length
0.357143	0.285714	0.142857	0.214286	0.142857	0.357143	0.214286	0.285714	0.285714	0.214286	0.214286	0.285714	45
0.357143	0.428571	0.071429	0.142857	0.142857	0.5	0.214286	0.142857	0	0.5	0.428571	0.071429	45
0.266667	0.466667	0.2	0.066667	0.133333	0.6	0.266667	0	0.2	0.2	0.466667	0.133333	48
0.1875	0.0625	0.625	0.125	0.625	0.1875	0.125	0.0625	0.1875	0.4375	0.3125	0.0625	51
0.625	0.3125	0	0.0625	0.25	0.25	0.1875	0.3125	0.25	0.125	0.375	0.25	51
0.117647	0.352941	0.176471	0.352941	0.294118	0.294118	0.235294	0.176471	0.235294	0.411765	0.117647	0.235294	54
0.235294	0.117647	0.529412	0.117647	0.176471	0.294118	0.294118	0.235294	0.294118	0.294118	0.176471	0.235294	54
0.388889	0.166667	0.222222	0.222222	0.111111	0.722222	0.111111	0.055556	0.166667	0.055556	0.5	0.277778	57
0.421053	0.157895	0.210526	0.210526	0.210526	0.684211	0.052632	0.052632	0.157895	0.105263	0.368421	0.368421	60
0.368421	0.105263	0.210526	0.315789	0.368421	0.421053	0	0.210526	0.210526	0.315789	0.157895	0.315789	60
0.421053	0.157895	0.263158	0.157895	0.052632	0.736842	0.052632	0.157895	0.263158	0.263158	0.263158	0.210526	60
0.368421	0.210526	0.157895	0.263158	0.105263	0.736842	0.105263	0.052632	0.210526	0.210526	0.263158	0.315789	60
0.368421	0.263158	0.210526	0.157895	0.105263	0.736842	0.105263	0.052632	0.157895	0.157895	0.263158	0.421053	60
0.3	0.15	0.1	0.45	0.35	0.35	0.25	0.05	0.15	0.3	0.25	0.3	63
0.761905	0	0.047619	0.190476	0.095238	0.238095	0.428571	0.238095	0.095238	0.238095	0.571429	0.095238	66
0.47619	0.047619	0.238095	0.238095	0.428571	0.285714	0.095238	0.190476	0.142857	0.47619	0.190476	0.190476	66
0.47619	0.333333	0.142857	0.047619	0.619048	0.238095	0.095238	0.047619	0.428571	0.47619	0.047619	0.047619	66
0.380952	0.380952	0.142857	0.095238	0.285714	0.571429	0.142857	0	0.333333	0.428571	0.095238	0.142857	66
0.285714	0.142857	0.190476	0.380952	0.190476	0.380952	0.285714	0.142857	0.285714	0.142857	0.238095	0.333333	66
0.347826	0.304348	0.043478	0.304348	0.086957	0.608696	0.173913	0.130435	0.043478	0.391304	0.304348	0.26087	72
0.5	0.083333	0.083333	0.333333	0.125	0.5	0.166667	0.208333	0.208333	0.25	0.125	0.416667	75
0.458333	0.208333	0.166667	0.166667	0.375	0.375	0.125	0.125	0.208333	0.333333	0.333333	0.125	75
0.384615	0.192308	0.269231	0.153846	0.192308	0.615385	0.076923	0.115385	0.192308	0.269231	0.307692	0.230769	81
0.192308	0.346154	0.153846	0.307692	0.423077	0.461538	0.038462	0.076923	0.307692	0.461538	0.115385	0.115385	81
